CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4595113;465;36;197717;190795;8;690808 
4595510;437;31;197732;190966;7;690808 
4595710;506;48;198003;190932;8;690808 
4594984;277;9;197693;190769;5;690806 
4595070;302;9;197702;190774;9;690806 
4595379;362;10;197691;190871;10;690806 
4595750;438;25;198160;190988;7;690810 
4595409;444;22;197778;190967;9;690809 
4595304;274;22;197624;191112;4;690808 
4594998;396;55;197752;190719;5;690809 
4595572;421;51;198068;190930;6;690813 
4595796;372;26;198339;190910;7;690812 
4594952;301;35;197785;190793;6;690810 
4594964;316;24;197784;190757;6;690808 
4595611;527;30;197983;190964;17;690810 
4595378;319;33;197904;190864;15;690808 
4595161;425;16;197738;190778;6;690807 
4594923;282;9;197540;190798;5;690806 
4595518;473;12;197972;190823;6;690807 
4595028;255;5;197715;190774;5;690806 
4595523;306;12;197841;190942;16;690806 
4595083;477;34;197886;190733;8;690808 
4595462;423;33;198006;190888;5;690811 
4594879;273;22;197610;190777;3;690808 
4595531;365;47;197965;190948;6;690811 
4595467;444;42;197847;191038;5;690811 
4595943;445;61;198166;191091;9;690812 
4595197;457;43;198126;190772;10;690811 
4595106;283;35;197788;190835;11;690808 
4594844;329;39;197703;190756;8;690810 
4595802;710;48;197876;191091;14;690809 
4595229;416;39;197887;190745;10;690807 
4595285;217;5;197844;190857;5;690806 
4594998;264;16;197627;190845;4;690807 
4595252;439;22;197925;190722;17;690808 
4595316;398;25;197899;190802;10;690808 
4595515;460;31;197778;190920;7;690810 
4597440;391;45;199479;191522;11;690810 
4595108;376;26;197840;190912;5;690809 
4595255;386;30;197800;190995;4;690812 
4595223;414;45;197612;190914;3;690810 
4595951;481;43;199088;190758;9;690812 
4595522;551;35;197682;191051;6;690810 
4596117;1286;22;197954;190762;7;690808 
4596159;342;33;198727;190865;10;690808 
4594983;383;31;197713;190822;4;690809 
4595205;446;16;197641;190891;5;690807 
4594787;226;9;197542;190747;3;690806 
4594930;273;9;197693;190752;16;690806 
4595208;338;16;197968;190777;8;690807 
4595675;315;27;197993;191051;7;690810 
4595420;327;27;197929;190865;8;690808 
4595640;327;28;198372;190835;16;690809 
4595670;401;40;197917;191103;7;690812 
4594981;376;38;197793;190837;5;690811 
4596283;346;57;198874;190907;5;690811 
4595533;438;39;197989;190944;7;690811 
4595589;416;29;197987;190954;7;690809 
4594942;356;34;197763;190756;9;690808 
4595285;429;20;197800;190903;10;690808 
4597205;667;40;197710;192583;14;690807 
4595262;333;15;197825;190825;5;690807 
4595045;351;9;197691;190755;6;690806 
4594982;215;8;197539;190861;3;690806 
4595335;472;35;197864;190764;16;690807 
4595617;557;30;197859;190972;7;690810 
4595339;322;56;197768;190958;6;690810 
4594821;355;50;197573;190770;5;690809 
4596592;373;39;198807;191051;6;690810 
4595453;432;39;197910;190995;5;690812 
4595552;397;44;197619;191288;5;690812 
4595388;522;35;197753;190903;7;690808 
4595019;355;27;197803;190830;6;690809 
4595461;561;39;197992;190843;10;690809 
4595603;251;230;197757;191208;12;690807 
4594821;179;9;197692;190723;8;690806 
4595035;445;16;197780;190711;8;690807 
4595442;617;12;197803;190794;9;690807 
4596324;411;27;198667;190928;5;690807 
4595286;444;34;197908;190758;9;690808 
4595404;412;34;198015;190883;5;690812 
4596701;442;27;197976;191929;7;690809 
4595606;536;52;197917;190925;6;690811 
4595404;319;58;197953;190919;9;690810 
4595270;417;46;197994;190887;6;690813 
4595380;369;47;197780;191132;4;690813 
4595352;287;36;197587;191313;4;690809 
4594988;256;32;197602;190904;3;690808 
4595220;352;30;198008;190766;6;690809 
4595413;331;16;198051;190784;17;690807 
4594849;368;9;197539;190724;5;690806 
4596672;248;9;199263;190811;16;690806 
4594714;386;12;197626;190651;6;690807 
4595960;389;27;198136;191254;7;690810 
4595666;908;44;197946;190725;6;690808 
4595396;292;28;197934;190887;9;690809 
4595801;413;46;198018;191050;5;690810 
4596317;574;37;198340;191022;9;690811 
4595106;295;47;197654;191025;3;690811 
4594706;355;46;197855;190691;4;690811 
4595273;386;24;197884;190937;7;690809 
4596134;309;21;198735;190831;5;690808 
4595547;293;45;197905;191035;11;690808 
4595236;492;15;197747;190787;14;690807 
4595387;467;17;197778;190846;11;690807 
4595035;229;8;197692;190791;12;690806 
4594956;221;8;197691;190784;5;690806 
4594835;235;9;197541;190783;4;690806 
4595215;400;34;197824;190915;5;690810 
4595482;439;46;197760;190893;6;690808 
4596087;292;53;198729;190858;6;690809 
4595121;372;37;197764;190872;4;690811 
4596871;560;62;199356;190844;11;690813 
4595111;382;44;197613;190910;4;690810 
4595359;282;43;197792;190929;5;690808 
4595295;425;30;197670;190941;4;690809 
4596078;337;38;197663;191895;4;690809 
4595314;233;35;197767;190995;9;690808 
4594996;209;10;197692;190788;7;690806 
4595234;291;16;197767;190884;6;690808 
4596851;461;15;199230;190879;15;690808 
4595040;262;4;197706;190792;5;690806 
4596559;312;32;197941;192085;5;690811 
4595906;356;58;198442;190900;12;690810 
4595823;343;26;198327;190958;7;690810 
4595161;350;38;197963;190887;6;690811 
4595255;472;36;197783;190826;6;690810 
4595483;420;53;197885;191039;5;690813 
4595351;426;22;197671;191060;6;690811 
4594985;436;22;197575;190809;6;690808 
4595244;301;33;197786;190866;10;690808 
4595501;405;39;198078;190959;6;690809 
4594941;275;12;197603;190837;6;690807 
4594858;213;8;197540;190792;5;690806 
4596269;610;8;198850;190681;7;690806 
4595487;362;22;197993;190910;7;690811 
4595043;401;26;197680;190940;4;690810 
4595311;353;31;197902;190846;6;690809 
4596252;486;27;198856;190791;8;690809 
4596587;532;40;198881;191004;4;690811 
4596404;493;34;198826;191032;6;690812 
4595232;504;31;197847;190837;5;690811 
4595282;393;52;197811;190899;8;690813 
4595695;502;30;197976;190966;8;690809 
4595525;320;34;197803;191038;15;690808 
4594905;311;27;197596;190781;3;690808 
4595062;265;31;197740;190788;10;690807 
4595028;252;17;197813;190793;5;690807 
4594807;248;5;197539;190757;4;690806 
4595095;385;9;197706;190765;6;690806 
4594737;274;45;197710;190670;5;690807 
