CYCLES;0xE1;0xE2;0xE7;0xE0;0x17;Ox12
4594895;244;18;197780;190799;13;690808 
4599906;1913;113;200547;191076;34;690810 
4596336;744;21;198325;190919;24;690808 
4596298;771;305;198393;190870;27;690808 
4608100;1091;2322;205039;191120;20;690808 
4599986;3302;1093;198108;191190;26;690809 
4598976;3105;27;198990;191157;33;690809 
4595797;897;203;197902;190770;26;690808 
4597039;909;24;198938;190972;21;690808 
4602059;1162;1067;201865;191218;27;690808 
4597131;1585;224;198534;191010;29;690809 
4597001;1407;30;198156;191129;21;690811 
4609851;2679;2118;205173;190928;17;690809 
4610115;3025;2265;205425;190895;26;690808 
4596587;835;62;198255;191160;25;690808 
4596707;1408;26;198378;190935;29;690809 
4611241;3554;2477;206817;191085;35;690809 
4608105;1304;2474;205161;190898;30;690808 
4597481;1303;25;198927;191096;28;690808 
4596859;932;28;198815;190883;23;690808 
4609007;1255;2195;206170;190918;30;690811 
4597431;1561;348;198984;191063;36;690809 
4599025;2485;36;199403;190834;27;690808 
4595990;1243;25;197874;190776;25;690809 
4607504;925;2199;204569;191071;22;690808 
4598579;1063;344;200262;191051;22;690810 
4596324;930;218;198255;190895;30;690809 
4596736;1674;33;198042;190882;27;690808 
4608301;1335;2329;204726;191076;26;690809 
4596990;1386;51;198325;190998;31;690810 
4596578;1855;25;198219;190802;33;690809 
4609191;1224;2152;205673;191690;21;690809 
4608446;1159;2201;205161;191378;28;690808 
4597978;2542;50;198315;190940;27;690808 
4596136;922;178;197910;190950;25;690808 
4609684;2451;2141;205326;190992;28;690810 
4609110;1865;2448;205342;191379;35;690809 
4595883;561;189;198094;190808;24;690809 
4597697;2216;609;197899;190818;27;690808 
4609159;1474;2142;205924;190921;22;690808 
4596588;1304;296;198275;190905;26;690809 
4597653;1478;22;198713;191280;29;690809 
4596841;1934;24;197870;190793;25;690808 
4607805;1139;2128;204458;191226;23;690809 
4599238;3072;178;198521;191092;27;690808 
4597289;1923;25;198725;190823;28;690810 
4610360;3203;2321;205556;191043;24;690809 
4607353;969;2194;204593;190950;24;690808 
4597174;2175;21;197892;190968;27;690808 
4598023;2386;27;198563;190930;24;690808 
4609658;1764;2220;206332;190816;25;690809 
4597540;1716;22;198853;191314;31;690810 
4596312;585;21;198299;191219;24;690808 
4596221;1151;34;197922;190922;25;690809 
4607472;1180;2207;204837;190904;24;690808 
4597470;1394;155;198817;191084;28;690810 
4596839;1140;273;198488;190874;30;690809 
4597715;771;1954;199861;190845;23;690808 
4607489;1216;2278;204593;190814;28;690809 
4598481;3015;17;198228;191004;27;690808 
4598595;2806;177;198670;190885;26;690810 
4609853;1198;2043;206943;190992;19;690809 
4601537;3816;244;200158;191158;30;690808 
4597016;1584;35;198188;191032;25;690808 
4596501;1097;213;198078;190837;26;690808 
4609128;1836;2243;205471;191074;29;690809 
4608990;1604;2385;205494;191222;39;690809 
4596640;1008;188;198027;191064;24;690808 
4597894;2275;35;198216;191001;31;690808 
4609217;1124;2311;205903;190934;20;690808 
4597959;1618;25;199355;191227;35;690809 
4598692;2630;202;198844;191066;35;690809 
4596456;1188;187;197997;190861;27;690808 
4607766;1020;2191;204560;191158;23;690808 
4597861;484;217;200137;190966;22;690808 
4597899;1489;27;199539;191039;26;690809 
4611292;1815;2189;207615;191044;38;690809 
4608335;1228;2740;204962;190947;24;690808 
4597012;690;217;198087;191863;26;690808 
4596440;1116;189;198043;190881;27;690808 
4609710;2538;2128;205119;191113;31;690809 
4611103;4437;2109;204909;191187;35;690809 
4597275;1935;208;198032;190982;24;690807 
4598103;3084;21;198016;190800;27;690808 
4607534;1087;2142;204663;190885;16;690808 
4598842;1186;171;200819;190776;26;690808 
4598736;2410;196;198672;191431;35;690809 
4596659;1158;21;198387;191059;26;690809 
4607323;870;2143;204497;190937;30;690807 
4596676;1856;170;197899;190720;23;690807 
4597636;2147;31;198440;190916;32;690809 
4610803;1465;2368;206313;192168;30;690809 
4608465;1212;2362;204950;191032;24;690808 
4596058;387;9;198658;190758;21;690806 
4596332;677;17;198730;190800;21;690807 
4608782;1485;2287;205236;191218;29;690808 
4596432;1344;201;198043;190755;26;690809 
4595346;135;8;198160;190776;19;690806 
4596235;1089;16;198051;190812;26;690807 
4607863;402;2171;205562;190899;16;690806 
4596220;451;16;198535;191035;17;690807 
4596652;1490;20;197992;191046;27;690808 
4597544;1486;17;199118;190762;24;690807 
4607595;1210;2152;204555;190864;20;690806 
4595440;549;9;198015;190706;20;690806 
4597059;1829;146;198610;190746;24;690808 
4608003;1381;2176;205075;190822;33;690808 
4607614;899;2176;204905;190869;20;690806 
4595690;607;10;198099;190808;23;690806 
4595947;1042;168;197917;190731;27;690807 
4609520;2384;2109;205208;191155;39;690808 
4608690;1525;2206;205088;191137;31;690807 
4596358;226;9;198982;190800;21;690806 
4596122;1252;17;198051;190782;25;690807 
4608295;361;2012;206160;190848;12;690806 
4598115;989;17;200180;190925;24;690807 
4596463;1134;241;197946;191078;29;690808 
4596318;1033;16;198059;190922;25;690807 
4606682;242;2190;204443;190860;16;690806 
4595177;217;9;197859;190797;17;690806 
4597606;2324;16;198249;190826;23;690807 
4609224;2352;2085;204941;190997;40;690809 
4607087;427;2078;204844;190903;23;690806 
4595187;229;8;197831;190785;17;690806 
4596286;1396;5;197971;190723;20;690806 
4608745;1445;2141;205436;191093;31;690807 
4607133;969;2042;204501;190810;25;690807 
4595322;429;8;197837;190775;18;690806 
4596059;994;8;198011;190767;20;690806 
4608169;471;2160;205926;190792;12;690806 
4596763;1260;16;198628;191004;30;690807 
4598438;2087;13;198318;191990;35;690807 
4595505;525;9;197838;190793;19;690806 
4607283;638;2115;204617;190937;16;690806 
4595512;433;5;197991;190810;21;690806 
4596697;1429;16;198241;190813;38;690807 
4595254;229;10;198013;190779;21;690806 
4595473;477;10;198219;190760;21;690806 
4606773;485;1935;204394;190902;21;690806 
4595986;576;17;198259;191087;23;690807 
4597839;1235;16;199747;190853;22;690807 
4595112;342;4;197857;190723;19;690806 
4595382;309;9;198029;190767;27;690806 
4607092;653;2154;204549;190839;18;690806 
4596244;1005;17;198272;191032;24;690807 
4598502;2983;16;199004;190696;25;690807 
4606746;186;2135;204552;190902;18;690806 
4606796;602;2055;204512;190877;22;690806 
4595473;370;9;197852;190854;18;690806 
4595831;746;16;198370;190857;25;690808 
4608418;979;2157;205599;191081;23;690807 
4606802;368;2129;204534;190884;20;690806 
4595567;521;9;197868;190830;17;690806 
4595625;448;8;198200;190757;19;690806 
4607840;893;2171;205132;191199;18;690807 
4596119;1114;12;198402;190908;36;690807 
4595271;418;10;198040;190716;22;690806 
4595878;775;10;197861;190839;21;690806 
4606719;408;2130;204474;190872;12;690806 
4596002;798;17;198097;190915;24;690807 
4597934;2390;12;198582;190884;23;690807 
4606646;433;2165;204446;190829;19;690806 
4597189;428;8;199812;190746;21;690806 
4595328;414;8;198010;190764;21;690806 
4609229;642;2158;206711;191148;33;690807 
4607117;986;2216;204527;190768;29;690808 
4596253;763;8;198363;190812;19;690806 
4595280;280;10;198030;190753;20;690806 
4607628;274;2188;205449;190838;18;690806 
4596510;1102;17;198720;191051;25;690807 
4597794;2490;16;198305;190821;25;690807 
4595905;487;9;198393;190846;33;690806 
4606644;319;2156;204629;190797;20;690806 
4595468;689;9;197980;190677;17;690806 
4595930;876;17;198340;190797;29;690807 
4609644;2260;2112;205429;191130;36;690807 
4609083;2533;2116;204377;190963;20;690806 
4595095;300;8;197881;190719;18;690806 
4595336;399;9;197912;190754;19;690806 
4608326;1184;2103;205151;190933;28;690807 
4607916;1183;2108;204922;190848;27;690807 
4595378;310;9;197951;190803;18;690806 
4596743;365;9;199222;190831;19;690806 
4607331;371;2121;204867;190937;11;690806 
4597855;780;17;200338;190789;24;690807 
4597459;1887;16;199317;190947;38;690807 
4595369;254;9;198010;190792;21;690806 
4606825;331;2049;204529;190895;16;690806 
4595344;346;9;197928;190780;17;690806 
4597031;1554;17;198340;191007;28;690807 
4596787;1649;16;198442;190758;35;690807 
4607511;513;2200;205081;190867;20;690806 
4595360;399;10;197953;190773;24;690806 
4597074;2082;9;197837;190822;19;690806 
4607504;714;2018;205257;191091;25;690808 
4609199;1028;2220;206297;190883;31;690807 
4595432;377;8;197947;190794;18;690806 
4595513;513;9;197858;190816;20;690806 
4609945;478;2162;207665;190853;19;690806 
4608590;442;2115;206035;190959;30;690807 
4596621;1276;16;198545;191026;28;690807 
4595536;489;4;197912;190805;19;690806 
4607089;355;2058;205010;190824;20;690806 
4596423;508;9;198835;190809;22;690806 
4596338;1076;17;198600;190783;28;690808 
4596572;1012;16;198509;191035;30;690807 
4607917;526;2183;205502;190857;18;690806 
4595446;438;8;197842;190831;20;690806 
4596888;622;9;199367;190711;21;690806 
4596415;977;21;198216;191096;26;690808 
4608863;897;2099;206126;190854;24;690807 
4596676;383;9;199132;190820;20;690806 
4595449;444;9;197863;190825;19;690806 
4607354;741;2205;204701;190865;22;690806 
4607176;859;2192;204722;190839;23;690807 
4596261;755;12;198418;191003;21;690807 
4595367;245;5;197983;190816;19;690806 
4606947;396;2112;204622;190880;11;690806 
4595314;372;9;197850;190789;18;690806 
4595670;610;16;198243;190880;22;690807 
4596738;1413;18;198400;190876;25;690808 
4606896;398;2136;204462;190928;17;690806 
4595456;272;5;198004;190779;21;690806 
4595472;500;10;197832;190822;20;690806 
4595796;697;8;198079;190825;22;690806 
4607901;1469;2107;205113;190844;33;690807 
4595719;518;9;198348;191047;20;690806 
4596156;383;9;198750;190750;21;690806 
4606854;359;2173;204634;190863;20;690806 
4607556;822;2094;205059;191150;29;690808 
4596148;726;16;198186;190921;20;690807 
4595488;212;4;198218;190795;20;690806 
4606834;415;2191;204832;190883;13;690806 
4607094;511;2184;204567;190924;20;690806 
4595733;596;17;198269;190964;23;690807 
4598104;1012;17;200128;190853;38;690807 
4608663;2294;2162;204530;190846;12;690806 
4595361;521;9;197867;190737;23;690806 
4596986;568;9;199387;190782;22;690806 
4595543;588;9;198053;190795;24;690806 
4608735;1352;2135;205671;190919;22;690807 
4595736;395;8;198312;190766;21;690806 
4595379;278;4;198177;190738;19;690806 
4596813;1581;9;198082;190813;28;690806 
4609598;558;2154;206353;191788;23;690807 
4596508;961;17;198751;191015;27;690808 
4595729;402;10;198242;190777;20;690806 
4607317;613;2112;205009;190870;24;690806 
4606953;338;2157;204811;190841;22;690806 
4596583;820;75;198482;191285;22;690819 
4597535;1418;8;199474;190761;30;690807 
4606736;232;1946;204698;190877;9;690806 
4596771;523;4;199464;190735;23;690806 
4596630;600;10;198815;190829;20;690806 
4595551;598;4;198071;190795;22;690806 
4609421;1287;2166;206124;191113;26;690807 
4595449;408;8;197973;190920;20;690806 
4595410;438;9;197850;190809;19;690806 
4607704;734;2084;204914;190897;30;690806 
4608637;532;2180;206263;190877;24;690806 
4597102;814;19;198952;190984;21;690807 
4597920;1215;16;199911;190880;35;690808 
4606890;213;2015;204790;190880;20;690806 
4607162;361;2040;204838;190891;19;690806 
4595439;490;5;198188;190731;19;690806 
4596757;1035;13;198671;190834;25;690807 
4608683;1191;2135;205589;190920;18;690807 
4595456;617;8;197837;190759;19;690806 
4595275;300;8;197837;190802;17;690806 
4595614;233;20;198057;190912;19;690808 
4597864;1417;24;199154;191193;29;690810 
4598365;2727;177;198299;190866;28;690808 
4596447;1090;49;198259;190861;27;690808 
4608251;1565;2153;204682;191051;27;690808 
4597299;1092;26;198347;192160;33;690809 
4598971;2226;28;199551;191115;34;690809 
4596179;732;211;198111;191020;25;690808 
4596798;991;21;199181;190768;26;690809 
4608469;1523;2310;204789;190975;32;690808 
4597365;1875;184;198359;191166;28;690809 
4597960;1519;28;198741;191661;34;690810 
4607539;569;2082;204861;191067;14;690809 
4611825;4876;2132;206860;191232;30;690808 
4596373;1010;23;198040;191031;25;690809 
4597241;1243;249;198502;191185;30;690809 
4608569;1799;2108;205102;191043;25;690809 
4597239;2067;22;198278;190948;26;690808 
4596136;1145;171;198075;190795;29;690808 
4596572;1200;22;198282;191088;29;690808 
4608762;2040;2453;205511;190839;21;690809 
4597199;987;187;199170;191000;33;690809 
4597116;1526;21;198284;191202;30;690808 
4598850;3134;36;198626;190885;25;690808 
4612014;5019;2147;206782;191116;32;690808 
4596228;951;163;198324;190985;27;690810 
4597951;1190;25;199910;190820;22;690809 
4608236;855;2366;205202;191049;21;690808 
4607247;902;2151;204615;190798;25;690808 
4597580;1349;25;198084;192071;26;690808 
4596215;1102;56;198556;190625;31;690810 
4608989;2373;2282;204803;190896;23;690810 
4598315;1416;216;199984;190705;25;690808 
4600778;3490;197;199862;191015;27;690809 
4596787;1314;22;198210;190926;22;690808 
4608918;2054;2333;204626;190981;35;690809 
4597781;1884;26;198367;191664;35;690810 
4596039;896;225;198050;190905;28;690808 
4608043;1459;2306;205212;190826;27;690808 
4609443;1166;2365;206746;190902;28;690808 
4596530;1021;26;198458;191053;24;690809 
4597153;1422;21;198451;191154;31;690809 
4607913;1135;2273;205328;190839;22;690809 
4608599;1075;2201;205837;190950;25;690808 
4598985;1045;290;200507;191175;24;690808 
4598752;2888;27;198671;191108;28;690809 
4608711;1514;2369;205414;190976;20;690809 
4598797;2360;363;198948;190922;33;690808 
4596322;1303;20;198323;190873;27;690808 
4596744;1068;215;198067;190935;26;690808 
4609174;883;2183;206333;191037;29;690809 
4596762;1247;153;198580;190915;34;690810 
4598494;1053;219;200160;190843;24;690808 
4596809;1487;20;198503;191006;29;690808 
4610012;2880;2179;205431;191231;27;690809 
4596496;858;230;198473;191103;30;690809 
4596497;1130;151;198149;190974;27;690810 
4608833;1857;2178;205344;191090;20;690808 
4608189;1676;2485;205310;190881;26;690808 
4598344;2999;173;197949;191003;25;690808 
4596464;1294;28;198338;190838;32;690809 
4608347;1246;2137;205367;191198;29;690809 
4601035;3583;21;202625;191187;28;690808 
4596454;699;197;198563;190871;25;690808 
4596432;1251;21;198128;190906;25;690809 
4608187;1450;2289;204929;191019;26;690809 
4596888;1560;24;198350;191015;38;690809 
4595850;1054;33;197893;190740;24;690808 
4596650;1104;28;198245;191003;25;690808 
4609932;2645;2427;205478;191390;31;690808 
4597227;1330;183;198338;191315;31;690810 
4597806;1980;174;198370;191191;38;690810 
4608965;1781;2321;205006;190994;16;690808 
4597848;1119;34;199322;191140;27;690808 
4596502;1086;21;198186;191139;25;690808 
4609762;2797;2180;205054;191091;30;690809 
4597087;1211;25;198696;191272;31;690809 
4596588;1118;185;198101;190878;25;690808 
4608629;1071;2070;205462;191098;24;690809 
4607929;808;2149;204994;191148;25;690808 
4596915;1502;29;198161;191167;30;690809 
4597419;2410;184;197977;190865;37;690809 
4608433;1258;2593;205348;190913;28;690808 
4607851;1225;2388;204951;190883;29;690808 
4600013;3289;20;198783;191884;26;690808 
4596452;1333;201;198113;190891;35;690809 
4608395;974;2171;205380;191390;19;690809 
4598108;1130;231;198423;192506;27;690808 
4596503;1415;20;197895;190904;27;690808 
4596275;1206;24;197888;190882;27;690809 
4611319;1442;2596;207851;191085;24;690809 
4597588;1522;25;198556;191489;29;690810 
4596601;1132;200;198149;190898;27;690808 
4596250;965;148;198396;190851;28;690809 
4607661;1005;2216;204481;191039;24;690808 
4598783;1037;31;200225;191351;30;690809 
4596462;1130;189;198113;191015;27;690809 
4607793;657;2155;205104;191000;22;690808 
4608405;1039;2151;204865;191473;22;690809 
4597775;1774;185;198914;190761;27;690808 
4596758;1484;30;198260;190955;28;690809 
4610323;1599;2141;206478;191152;27;690810 
4598262;2317;20;198885;190839;27;690808 
4596796;1188;212;198071;191077;31;690808 
4596672;1514;189;198093;190829;27;690808 
4609601;1541;2115;206598;190925;30;690809 
4599263;2301;25;200365;191074;33;690809 
4596301;1092;21;198062;190899;26;690808 
4596484;1211;180;197942;191002;25;690808 
4610283;2300;3093;205331;190953;26;690808 
4597068;1235;27;198801;191214;24;690809 
4596323;1269;25;198211;190830;27;690809 
4609582;1666;2220;206085;191033;29;690808 
4609758;1582;1928;206417;191301;30;690808 
4596068;931;17;198039;191064;25;690808 
4598446;1876;193;199162;191101;29;690809 
4608038;1228;2169;204693;191291;28;690809 
4597780;2592;264;198227;190756;29;690808 
4598482;3416;32;197923;190906;23;690808 
4596446;1107;152;198440;190844;28;690808 
4608799;2425;2111;205071;190933;33;690809 
4596898;1465;175;198186;191064;39;690809 
4596506;1368;34;198102;190834;24;690808 
4609645;853;1965;206822;191034;24;690808 
4597138;1620;208;197929;191147;28;690808 
4597173;1632;30;198456;191055;32;690809 
4596760;1220;24;198161;191033;24;690809 
4608147;1118;2102;204861;191192;17;690808 
4610178;1191;2193;206613;191435;28;690808 
4597254;1867;213;197829;191077;28;690808 
4596726;1154;28;198370;191016;28;690810 
4609008;1421;2345;205560;191005;24;690809 
4596315;985;34;198102;190898;27;690808 
4596593;1168;21;198252;191110;31;690809 
4595521;372;17;198081;190863;18;690808 
4596936;1484;350;198244;190768;21;690809 
4595660;675;21;198249;190725;25;690808 
4598459;3237;21;198276;190995;28;690808 
4611892;4041;2085;204690;192215;23;690808 
4596907;1292;26;198765;191051;22;690809 
4599506;3017;178;201352;191016;38;690810 
4596289;837;190;197973;190936;23;690808 
4609850;2089;2172;206043;190836;31;690808 
4607842;1277;1862;204816;191115;30;690808 
4596380;1086;222;198373;190908;29;690810 
4596964;1268;182;198576;191043;26;690810 
4611354;930;2255;208069;191397;20;690808 
4607726;1434;2169;204590;190944;24;690808 
4597063;1101;190;198890;190766;25;690808 
4596405;1229;26;198314;190937;33;690809 
4609640;2191;2179;206730;191620;21;690810 
4596548;683;21;198628;191384;25;690808 
4598312;1966;306;200161;190812;29;690808 
4596558;1006;52;198466;190891;27;690808 
4608180;1013;2170;205107;191057;25;690810 
4599343;2850;279;200648;191059;44;690809 
4595948;960;26;198234;190822;22;690808 
4598086;1101;25;199817;190998;28;690808 
4608431;1791;2454;204695;191131;28;690808 
4597444;2034;194;198129;190818;25;690811 
4599040;3311;28;198132;191237;25;690809 
4610611;868;2222;207669;191032;22;690809 
4608240;1716;2182;204740;190960;29;690808 
4599122;3271;22;198637;191163;29;690808 
4596515;1494;25;198271;191010;38;690809 
4608353;1656;2183;204816;191076;18;690809 
4597368;2267;200;197891;190848;26;690808 
4595910;965;25;198225;190702;23;690808 
4596385;1158;21;198501;191013;26;690808 
4608584;1459;2384;205448;191052;28;690809 
4597927;1788;179;198509;191445;41;690809 
4596082;1094;35;198053;190753;24;690808 
4609243;1872;2460;205002;191061;21;690808 
4596335;1077;23;198206;190950;24;690808 
4608694;1695;2147;204986;191418;31;690809 
4600169;3379;25;198462;192371;34;690809 
4595961;897;21;198124;190848;24;690809 
4608243;1003;2353;205167;190967;26;690808 
4609331;1952;2139;205821;190912;30;690808 
4597027;1355;224;198103;191287;29;690810 
4596271;1150;24;198134;190948;29;690809 
4607764;1102;2056;204673;191015;18;690808 
4595987;1065;25;197974;190780;29;690808 
4598012;1135;189;199791;190891;26;690808 
4599581;2291;27;200967;191104;24;690809 
4610381;2397;1963;205876;191246;31;690809 
4596284;1000;34;198106;190972;27;690808 
4598318;947;2271;199465;190848;28;690808 
4596493;1173;28;198345;190993;29;690808 
4609169;1739;2305;205565;191063;26;690809 
4596456;1129;21;198484;190933;31;690809 
4596527;1266;328;197918;190833;26;690808 
4609643;1620;2158;205968;191104;35;690808 
4608011;1111;2138;204928;191269;25;690809 
4596972;1522;154;198703;190874;33;690809 
4595737;925;25;197952;190847;23;690809 
